Customer,Product Code,Product Description,Location,Trans.#,Trans.Date,Transfer Type,Qty,Price,Cost,Amount
The Westin Long Beach,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469113,02/05/2026,store_order,8,6.75,1.34,54.00
Dolphin's Cove,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469126,02/05/2026,store_order,10,5.75,1.34,57.50
Del Sol Inn,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469127,02/05/2026,store_order,6,6.25,1.34,37.50
Pepsi Bottling Co,PC14016,Gatorade Zero Glacier Freeze 20oz,,BILL/2026/0051,02/04/2026,bill,27,5.75,1.34,36.18
Pepsi Bottling Co,PC14016,Gatorade Zero Glacier Freeze 20oz,,P02388,02/04/2026,purchase,648,5.75,1.34,868.32
Pepsi Bottling Co,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02395,02/04/2026,material_receipt,27,5.75,1.34,36.18
Behr Paint Company - Standard,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469016,02/04/2026,store_order,9,2.37,1.34,21.33
Inn at the Park,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469040,02/04/2026,store_order,5,5.75,1.34,28.75
Sheraton Gateway Los Angeles Hotel ,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469044,02/04/2026,store_order,7,6.50,1.34,45.50
Motel 6 Los Angeles - LAX,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469051,02/04/2026,store_order,7,6.50,1.34,45.50
Hyatt Regency Los Angeles International Airport ,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469087,02/04/2026,store_order,10,6.50,1.34,65.00
Comfort Suites Oceanside Camp Pendleton,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468925,02/03/2026,store_order,13,5.75,1.34,74.75
Ayres Hotel Fountain Valley ,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468927,02/03/2026,store_order,8,5.75,1.34,46.00
Quality Inn Placentia Anaheim Fullerton,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468959,02/03/2026,store_order,3,5.75,1.34,17.25
Ayres Suites Yorba Linda,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468963,02/03/2026,store_order,8,5.75,1.34,46.00
The Westin Long Beach,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468823,02/02/2026,store_order,9,6.75,1.34,60.75
Ramada by Wyndham Barstow,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468831,02/02/2026,store_order,4,5.75,1.34,23.00
Ayres Hotel Seal Beach,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468849,02/02/2026,store_order,7,5.75,1.34,40.25
Club Wyndham Oceanside Pier Resort,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468889,02/02/2026,store_order,3,6.25,1.34,18.75
WorldMark Palm Springs,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468895,02/02/2026,store_order,7,6.25,1.34,43.75
DoubleTree by Hilton Pomona,PC14016,Gatorade Zero Glacier Freeze 20oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468898,02/02/2026,store_order,7,6.25,1.34,43.75
,,,,,,TOTAL,42,5.55,4.85,$68.30
Vistar,PC14363,Belvita Biscuit Blueberry,,BILL/2026/0061,02/10/2026,bill,3,0.00,0.97,2.91
Vistar,PC14363,Belvita Biscuit Blueberry,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02436,02/10/2026,material_receipt,3,0.00,0.97,2.91
Vistar,PC14363,Belvita Biscuit Blueberry,,P02395,02/07/2026,purchase,24,0.00,0.97,23.28
Bobrick Washroom Equipment Inc,PC14363,Belvita Biscuit Blueberry,Ultraserv Automated Services Transit/Stock,Ultra/INT/469042,02/04/2026,store_order,4,1.30,0.97,5.20
DoubleTree by Hilton Pomona,PC14363,Belvita Biscuit Blueberry,Ultraserv Automated Services Transit/Stock,Ultra/INT/468898,02/02/2026,store_order,8,4.25,0.97,34.00
,,,,,,TOTAL,268,58.75,9.00,$306.68
Ayres Hotel Anaheim ,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469471,02/19/2026,store_order,2,3.50,0.36,7.00
Ayres Hotel Anaheim ,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469473,02/19/2026,store_order,2,3.50,0.36,7.00
Vistar,PC14364,Cheez-It White Cheddar 1.5oz,,BILL/2026/0061,02/10/2026,bill,1,0.00,0.36,0.36
Vistar,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02436,02/10/2026,material_receipt,1,0.00,0.36,0.36
Vistar,PC14364,Cheez-It White Cheddar 1.5oz,,P02395,02/07/2026,purchase,45,0.00,0.36,16.20
Behr Paint Company - Saint Andrews,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469201,02/06/2026,store_order,3,1.00,0.36,3.00
Behr Paint Company - Midway Coatings Cantina,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469205,02/06/2026,store_order,6,1.00,0.36,6.00
